Training ProxyNCA | model: resnet101
epoch, loss
1, 5.5506
2, 4.2808
3, 4.0567
4, 3.9281
5, 3.8065
6, 3.6974
7, 3.6394
8, 3.5520
9, 3.5124
10, 3.4231
11, 3.3574
12, 3.3278
13, 3.3195
14, 3.2241
15, 3.2210
16, 3.1642
17, 3.1326
18, 3.1338
19, 3.1001
20, 3.0527
21, 3.0255
22, 3.0023
23, 2.9886
24, 3.0055
25, 2.9260
26, 2.9642
27, 2.9031
28, 2.8650
29, 2.8517
30, 2.7996
31, 2.8023
32, 2.7688
33, 2.7765
34, 2.7350
35, 2.7489
36, 2.7379
37, 2.7092
38, 2.6633
39, 2.6583
40, 2.5935
41, 2.6330
42, 2.5942
43, 2.5510
44, 2.5659
45, 2.5388
46, 2.5415
47, 2.5518
48, 2.5040
49, 2.5131
50, 2.4990
