SimCLR_resnet18_10e_512b_.005lr,SimCLR_resnet50_10e_512b_.005lr,SimCLR_resnet101_10e_512b_.005lr,SimCLR_resnet18_50e_512b_.005lr,SimCLR_resnet50_50e_512b_.005lr,SimCLR_resnet101_50e_512b_.005lr
5.368417618122507,5.120570994438009,4.876258941406899,5.3446148659320585,5.276205869431191,4.996466271420743
5.438145140384106,4.34736208712801,3.9931571382157345,5.514673233032227,4.949316045071217,4.125686853489977
4.967994172522363,3.475803111461883,3.1992838230538876,5.213154498566973,4.330380952104609,3.350622516997317
4.8118545451062795,2.788147434275201,2.551383155457517,4.861490016287946,3.554263541039,2.72051540334174
4.605637540208533,2.3402057353486407,2.052021399457404,4.621807534643945,3.035867158402788,2.206789326160512
4.135468817771749,1.9130550090302811,1.7358415202891573,4.174273049577754,2.6435205530613026,1.8580578844598
3.855750408578426,1.6649757877309272,1.5248709029339729,3.8737388620985316,2.29188715904317,1.6174423593155882
3.5751654695957265,1.4880167854593156,1.374583675506267,3.586943382912494,2.034733957432686,1.4376457523792348
3.354328708445772,1.3700331449508667,1.2711558811208035,3.2518044481886195,1.7470821598742872,1.3272637534648815
3.023609465741097,1.272212859163893,1.18041230262594,3.0231240100048957,1.5701478821166017,1.2124327040733176
,,,2.8244564888325145,1.4399115303729444,1.1634859582211108
,,,2.6536856965815767,1.3049510717391968,1.1143383383750916
,,,2.604487657546997,1.2391098788444033,1.0589693340849369
,,,2.366214843506509,1.2279877726067887,1.0219910347715337
,,,2.1776914266829794,1.1144889719942783,1.0091468780598742
,,,2.0729452041869467,1.0793232042738732,0.9794057899333061
,,,1.93773641484849,1.0562775959359838,0.9364736029442321
,,,1.8353597103281225,1.039290429429805,0.8957911615676069
,,,1.776254806112736,0.9750968281258928,0.8417047148055219
,,,1.7146251810357926,0.929710290533431,0.8837907834255949
,,,1.6048069177789892,0.905814546219846,0.8374042929487026
,,,1.5363814602506922,0.9028584475212909,0.8741071363712879
,,,1.5032618248716314,0.8852151594263442,0.8213703797218648
,,,1.4314720148735858,0.8986787009746471,0.8105116854322717
,,,1.4312996585318383,0.831090047004375,0.8174117828937287
,,,1.395037942744316,0.8249103908843183,0.7588938461973312
,,,1.313316194300956,0.817177175207341,0.8018132346741697
,,,1.316925917534118,0.7810436373061322,0.7727250146104935
,,,1.25054787448112,0.8056523406759222,0.7452175312853874
,,,1.2192187727765833,0.8088391993908172,0.7601831314411569
,,,1.2061597121522782,0.7423030493107248,0.7440869681378628
,,,1.176161027969198,0.7321899647408343,0.734409474311991
,,,1.215878907670366,0.7888246045467702,0.6804415152427998
,,,1.1349190942784573,0.7584303300431434,0.7371821885413312
,,,1.1129758662365852,0.7169408208512246,0.7135636540169411
,,,1.1044484275452635,0.7215973538287143,0.6999840932957669
,,,1.0881739601175835,0.6776192746263869,0.6724747552516612
,,,1.05732517293159,0.6937508950842187,0.6846357064044222
,,,1.0317047897805558,0.6660555785006665,0.6683182849528941
,,,1.021506536514201,0.6834276077595163,0.6840205839339722
,,,1.0086986042083579,0.6218402119393044,0.6368688833206257
,,,1.028781221268025,0.6957467033507976,0.6327389057012315
,,,1.0029402083538947,0.6380427746062584,0.654325949384811
,,,0.9529372542462451,0.6790347765100763,0.6344913967112278
,,,0.9898643645834415,0.648121861701316,0.6429143706534771
,,,0.990498294221594,0.6418334619796022,0.6476641316363152
,,,0.945552721936652,0.6380716035974786,0.6429065738586669
,,,0.9467776328959363,0.5967903124525192,0.6292608741750109
,,,0.8950006378457901,0.6241305109034193,0.6490996651192928
,,,0.9326348304748535,0.6084307825311701,0.6153372018895251
